"tiempo","mes","prediccion"
731,"11",150.927492373375
732,"11",150.969253261181
733,"11",151.011014148987
734,"11",151.052775036793
735,"11",151.094535924598
736,"11",151.136296812404
737,"11",151.17805770021
738,"11",151.219818588016
739,"11",151.261579475822
740,"11",151.303340363627
741,"11",151.345101251433
742,"11",151.386862139239
743,"11",151.428623027045
744,"11",151.47038391485
745,"11",151.512144802656
746,"11",151.553905690462
747,"11",151.595666578268
748,"11",151.637427466073
749,"11",151.679188353879
750,"12",157.157165095992
751,"12",157.198925983798
752,"12",157.240686871603
753,"12",157.282447759409
754,"12",157.324208647215
755,"12",157.365969535021
756,"12",157.407730422827
757,"12",157.449491310632
758,"12",157.491252198438
759,"12",157.533013086244
760,"12",157.57477397405
761,"12",157.616534861855
762,"12",157.658295749661
763,"12",157.700056637467
764,"12",157.741817525273
765,"12",157.783578413079
766,"12",157.825339300884
767,"12",157.86710018869
768,"12",157.908861076496
769,"12",157.950621964302
770,"12",157.992382852107
771,"12",158.034143739913
772,"12",158.075904627719
773,"12",158.117665515525
774,"12",158.15942640333
775,"12",158.201187291136
776,"12",158.242948178942
777,"12",158.284709066748
778,"12",158.326469954554
779,"12",158.368230842359
780,"12",158.409991730165
781,"01",144.751381144379
782,"01",144.793142032185
783,"01",144.834902919991
784,"01",144.876663807796
785,"01",144.918424695602
786,"01",144.960185583408
787,"01",145.001946471214
788,"01",145.043707359019
789,"01",145.085468246825
790,"01",145.127229134631
791,"01",145.168990022437
792,"01",145.210750910243
793,"01",145.252511798048
794,"01",145.294272685854
795,"01",145.33603357366
796,"01",145.377794461466
797,"01",145.419555349271
798,"01",145.461316237077
799,"01",145.503077124883
800,"01",145.544838012689
801,"01",145.586598900494
802,"01",145.6283597883
803,"01",145.670120676106
804,"01",145.711881563912
805,"01",145.753642451718
806,"01",145.795403339523
807,"01",145.837164227329
808,"01",145.878925115135
809,"01",145.920686002941
810,"01",145.962446890746
811,"01",146.004207778552
812,"02",145.964598486654
813,"02",146.00635937446
814,"02",146.048120262265
815,"02",146.089881150071
816,"02",146.131642037877
817,"02",146.173402925683
818,"02",146.215163813488
819,"02",146.256924701294
820,"02",146.2986855891
821,"02",146.340446476906
822,"02",146.382207364711
823,"02",146.423968252517
824,"02",146.465729140323
825,"02",146.507490028129
826,"02",146.549250915935
827,"02",146.59101180374
828,"02",146.632772691546
829,"02",146.674533579352
830,"02",146.716294467158
831,"02",146.758055354963
832,"02",146.799816242769
833,"02",146.841577130575
834,"02",146.883338018381
835,"02",146.925098906186
836,"02",146.966859793992
837,"02",147.008620681798
838,"02",147.050381569604
839,"02",147.09214245741
840,"03",147.027136103702
841,"03",147.068896991508
842,"03",147.110657879314
843,"03",147.152418767119
844,"03",147.194179654925
845,"03",147.235940542731
846,"03",147.277701430537
847,"03",147.319462318342
848,"03",147.361223206148
849,"03",147.402984093954
850,"03",147.44474498176
851,"03",147.486505869565
852,"03",147.528266757371
853,"03",147.570027645177
854,"03",147.611788532983
855,"03",147.653549420789
856,"03",147.695310308594
857,"03",147.7370711964
858,"03",147.778832084206
859,"03",147.820592972012
860,"03",147.862353859817
861,"03",147.904114747623
862,"03",147.945875635429
863,"03",147.987636523235
864,"03",148.02939741104
865,"03",148.071158298846
866,"03",148.112919186652
867,"03",148.154680074458
868,"03",148.196440962264
869,"03",148.238201850069
870,"03",148.279962737875
871,"04",148.150710311046
872,"04",148.192471198851
873,"04",148.234232086657
874,"04",148.275992974463
875,"04",148.317753862269
876,"04",148.359514750075
877,"04",148.40127563788
878,"04",148.443036525686
879,"04",148.484797413492
880,"04",148.526558301298
881,"04",148.568319189103
882,"04",148.610080076909
883,"04",148.651840964715
884,"04",148.693601852521
885,"04",148.735362740327
886,"04",148.777123628132
887,"04",148.818884515938
888,"04",148.860645403744
889,"04",148.90240629155
890,"04",148.944167179355
891,"04",148.985928067161
892,"04",149.027688954967
893,"04",149.069449842773
894,"04",149.111210730578
895,"04",149.152971618384
896,"04",149.19473250619
897,"04",149.236493393996
898,"04",149.278254281802
899,"04",149.320015169607
900,"04",149.361776057413
901,"05",149.278141668218
902,"05",149.319902556024
903,"05",149.36166344383
904,"05",149.403424331635
905,"05",149.445185219441
906,"05",149.486946107247
907,"05",149.528706995053
908,"05",149.570467882859
909,"05",149.612228770664
910,"05",149.65398965847
911,"05",149.695750546276
912,"05",149.737511434082
913,"05",149.779272321887
914,"05",149.821033209693
915,"05",149.862794097499
916,"05",149.904554985305
917,"05",149.94631587311
918,"05",149.988076760916
919,"05",150.029837648722
920,"05",150.071598536528
921,"05",150.113359424334
922,"05",150.155120312139
923,"05",150.196881199945
924,"05",150.238642087751
925,"05",150.280402975557
926,"05",150.322163863362
927,"05",150.363924751168
928,"05",150.405685638974
929,"05",150.44744652678
930,"05",150.489207414585
931,"05",150.530968302391
932,"06",150.412022727712
933,"06",150.453783615518
934,"06",150.495544503324
935,"06",150.53730539113
936,"06",150.579066278935
937,"06",150.620827166741
938,"06",150.662588054547
939,"06",150.704348942353
940,"06",150.746109830159
941,"06",150.787870717964
942,"06",150.82963160577
943,"06",150.871392493576
944,"06",150.913153381382
945,"06",150.954914269187
946,"06",150.996675156993
947,"06",151.038436044799
948,"06",151.080196932605
949,"06",151.121957820411
950,"06",151.163718708216
951,"06",151.205479596022
952,"06",151.247240483828
953,"06",151.289001371634
954,"06",151.330762259439
955,"06",151.372523147245
956,"06",151.414284035051
957,"06",151.456044922857
958,"06",151.497805810662
959,"06",151.539566698468
960,"06",151.581327586274
961,"06",151.62308847408
